trans_id monetary frequency recency monetary_level frequency_level recency_level vip
73 2349697 600 1 157 L L L 老馆
74 242366 200 1 90 L L M 老馆
75 144559 20070 1 100 M L M 老馆
76 775968 400 1 56 L L M 老馆
77 537875 1000 1 161 L L L 老馆
78 1238917 500 1 129 L L M 老馆
79 576752 600 1 33 L L M 老馆
80 1657153 700 1 205 L L L 老馆
81 434652 700 1 155 L L L 老馆
82 294480 1000 1 203 L L L 老馆
83 374591 6770 1 58 L L M 老馆
84 73509 800 1 140 L L M 老馆
85 110785 1500 1 50 L L M 老馆
86 882363 22450 1 144 M L M 老馆
87 2775579 800 1 95 L L M 老馆
88 846793 1100 1 76 L L M 老馆
89 3402666 18350 1 132 M L M 老馆
90 696164 13900 1 179 M L L 老馆
91 298980 19750 1 102 M L M 老馆
92 333296 400 1 2 L L H 老馆
93 259749 7040 1 88 L L M 老馆
94 858265 9100 1 27 M L H 老馆
95 858386 10580 1 109 M L M 老馆
96 469891 500 1 133 L L M 老馆
97 771037 14260 1 167 M L L 老馆
98 253162 5400 1 104 L L M 老馆
99 192098 13850 1 142 M L M 老馆
100 1117249 17370 1 69 M L M 老馆
101 695722 5070 1 67 L L M 老馆
102 649665 1100 1 70 L L M 老馆
103 237649 1100 1 48 L L M 老馆
104 608137 12140 1 78 M L M 老馆
105 42520 900 1 21 L L H 老馆
106 2190 800 1 201 L L L 老馆
107 1002957 900 1 151 L L L 老馆
108 3123297 4200 1 49 L L M 老馆
109 160593 700 1 97 L L M 老馆
110 1039105 1100 1 127 L L M 老馆
111 285072 1000 1 40 L L M 老馆
112 796787 1300 1 32 L L M 老馆
113 1176616 8000 1 85 M L M 老馆
114 119791 6000 1 37 L L M 老馆
115 137463 159710 18 126 H H M VIP
116 711470 500 1 165 L L L 老馆
117 695251 19140 1 100 M L M 老馆
118 695562 33900 1 34 H L M 老馆
119 299430 4100 1 53 L L M 老馆
120 136148 10500 1 31 M L M 老馆
121 452238 122660 14 179 H H L VIP
122 84101 6200 1 212 L L L 老馆
123 708372 8000 1 110 M L M 老馆
124 491813 200 1 50 L L M 老馆
125 269812 500 1 16 L L H 老馆
126 1183399 3100 1 5 L L H 老馆
127 293959 300 1 133 L L M 老馆
128 2810462 161890 20 64 H H M VIP
129 1911147 61790 11 123 H M M 老馆
130 1256736 5200 1 198 L L L 老馆
131 1068640 800 1 93 L L M 老馆
132 726514 200 1 205 L L L 老馆
133 494941 800 1 39 L L M 老馆
134 883003 200 1 111 L L M 老馆
135 2780386 900 1 115 L L M 老馆
136 851694 3900 1 120 L L M 老馆
137 462811 900 1 13 L L H 老馆
138 105733 600 1 171 L L L 老馆
139 519751 900 1 23 L L H 老馆
140 3564254 30 1 124 L L M 老馆
141 3563618 20 1 97 L L M 老馆
142 3562938 20 1 161 L L L 老馆
143 695490 10 1 157 L L L 老馆
144 3591422 20 1 204 L L L 老馆
145 3617491 120 1 140 L L M 老馆
146 3618041 40 1 198 L L L 老馆
147 3618818 10 1 69 L L M 老馆
148 3619030 20 1 167 L L L 老馆
149 3673340 20 1 99 L L M 老馆
150 3580975 30 1 37 L L M 老馆
151 3578972 10 1 66 L L M 老馆
152 3579544 20 1 206 L L L 老馆
153 3559698 20 1 169 L L L 老馆
154 3558799 100 1 80 L L M 老馆
155 3561686 10 1 189 L L L 老馆
156 3558613 140 1 159 L L L 老馆
157 3453600 100 1 30 L L M 老馆
158 3509732 20 1 115 L L M 老馆
159 3520588 40 1 191 L L L 老馆
160 3574568 160 1 102 L L M 老馆
161 3654667 110 1 162 L L L 老馆
162 3659415 60 1 29 L L H 老馆
163 3656580 80 1 58 L L M 老馆
164 3657066 30 1 154 L L L 老馆
165 3460368 70 1 30 L L M 老馆
166 3458834 30 1 48 L L M 老馆
167 3456845 20 1 109 L L M 老馆
168 3459107 10 1 211 L L L 老馆
169 3553662 90 1 127 L L M 老馆
170 3552057 110 1 209 L L L 老馆
171 3551094 60 1 184 L L L 老馆
172 3652281 0 1 88 L L M 老馆
173 3629868 70 1 160 L L L 老馆
174 3585453 10 1 138 L L M 老馆
175 3583849 20 1 58 L L M 老馆
176 3584202 30 1 156 L L L 老馆
177 3589600 0 1 56 L L M 老馆
178 3586192 50 1 202 L L L 老馆
179 3587929 10 1 213 L L L 老馆
180 3587146 110 1 25 L L H 老馆
181 3614522 20 1 79 L L M 老馆
182 3615569 40 1 33 L L M 老馆
183 3643350 70 1 76 L L M 老馆
184 3449863 20 1 187 L L L 老馆
185 3546684 250 1 138 L L M 老馆
186 3549614 30 1 197 L L L 老馆
187 3598961 0 1 52 L L M 老馆
188 3599468 120 1 116 L L M 老馆
189 3600404 200 1 17 L L H 老馆
190 3468211 20 1 78 L L M 老馆
191 3466390 60 1 66 L L M 老馆
192 3467902 50 1 175 L L L 老馆
193 3466050 100 1 117 L L M 老馆
194 3447022 150 1 77 L L M 老馆
195 3444293 220 1 192 L L L 老馆
196 3448084 40 1 212 L L L 老馆
197 3444481 30 1 136 L L M 老馆
198 3602139 20 1 68 L L M 老馆
199 3604749 10 1 178 L L L 老馆
200 3539843 20 1 124 L L M 老馆
201 3542018 60 1 160 L L L 老馆
202 621768 39280 1 143 H L M 老馆
203 3567644 10 1 200 L L L 老馆
204 3567897 150 1 98 L L M 老馆
205 3595507 50 1 86 L L M 老馆
206 3594125 50 1 191 L L L 老馆
207 3597518 20 1 50 L L M 老馆
208 3595784 20 1 194 L L L 老馆
209 3648652 30 1 178 L L L 老馆
210 3646189 10 1 3 L L H 老馆
211 3645342 110 1 81 L L M 老馆
212 3556398 20 1 104 L L M 老馆
213 3556862 40 1 212 L L L 老馆
214 3555839 30 1 191 L L L 老馆
215 527456 18970 1 136 M L M 老馆
216 1081627 3200 1 208 L L L 老馆
217 3537488 50 1 189 L L L 老馆
218 1450025 44460 1 118 H L M 老馆
219 3607856 30 1 34 L L M 老馆
220 3608593 340 1 149 L L M 老馆
221 3609128 80 1 179 L L L 老馆
222 3608664 60 1 91 L L M 老馆
223 3610110 20 1 196 L L L 老馆
224 3610581 10 1 79 L L M 老馆
225 3612140 120 1 12 L L H 老馆
226 3669815 270 1 101 L L M 老馆
227 3671894 90 1 87 L L M 老馆
228 3667903 10 1 67 L L M 老馆
229 3492040 120 1 195 L L L 老馆
230 3479817 30 1 146 L L M 老馆
231 3479717 30 1 150 L L L 老馆
232 3543739 30 1 83 L L M 老馆
233 3546414 10 1 182 L L L 老馆
234 3544121 40 1 162 L L L 老馆
235 3546052 40 1 126 L L M 老馆
236 3545699 50 1 72 L L M 老馆
237 3572389 80 1 42 L L M 老馆
238 3469665 10 1 176 L L L 老馆
239 3470805 70 1 99 L L M 老馆
240 3469151 90 1 166 L L L 老馆
241 3528743 40 1 57 L L M 老馆
242 3529064 30 1 180 L L L 老馆
243 3626470 10 1 159 L L L 老馆
244 3627126 70 1 26 L L H 老馆
245 3628744 20 1 201 L L L 老馆
246 3625748 70 1 97 L L M 老馆
247 3625863 20 1 20 L L H 老馆
248 3627197 50 1 121 L L M 老馆
249 608427 7700 1 73 L L M 老馆
250 1190945 2500 1 22 L L H 老馆
251 542076 3900 1 57 L L M 老馆
252 71666 300 1 198 L L L 老馆
253 797025 10800 1 203 M L L 老馆
254 695563 21400 1 122 M L M 老馆
255 968613 700 1 57 L L M 老馆
256 810834 33040 1 108 H L M 老馆
257 207643 8900 1 178 M L L 老馆
258 1117692 4200 1 124 L L M 老馆
259 695254 7080 1 16 L L H 老馆
260 502369 700 1 43 L L M 老馆
261 123329 400 1 145 L L M 老馆
262 315547 1000 1 100 L L M 老馆
263 1208386 500 1 214 L L L 老馆
264 1028504 500 1 62 L L M 老馆
265 771485 6900 1 107 L L M 老馆
266 615551 30560 1 195 H L L 老馆
267 1730741 10200 1 123 M L M 老馆
268 453139 13400 1 196 M L L 老馆
269 145022 8100 1 166 M L L 老馆
270 144543 18450 1 53 M L M 老馆
271 754530 2900 1 211 L L L 老馆
272 726267 8100 1 165 M L L 老馆
273 497554 5200 1 76 L L M 老馆
274 529625 9500 1 205 M L L 老馆
275 882873 900 1 180 L L L 老馆
276 1450026 8810 1 193 M L L 老馆
277 2797781 37300 1 48 H L M 老馆
278 404590 1100 1 151 L L L 老馆
279 505751 3200 1 96 L L M 老馆
280 251559 10700 1 137 M L M 老馆
281 712153 10600 1 210 M L L 老馆
282 732241 600 1 167 L L L 老馆
283 332727 11800 1 154 M L L 老馆
284 145128 25300 1 180 M L L 老馆
285 537878 11540 1 137 M L M 老馆
286 783293 24380 1 199 M L L 老馆
287 1910797 42230 1 194 H L L 老馆
288 1935476 300 1 131 L L M 老馆
289 851328 20210 1 190 M L L 老馆
290 846310 2700 1 76 L L M 老馆
291 3393741 7620 1 64 L L M 老馆
292 101389 19940 1 104 M L M 老馆
293 710069 14610 1 91 M L M 老馆
294 566014 3900 1 145 L L M 老馆
295 330234 1100 1 92 L L M 老馆
296 1028005 300 1 89 L L M 老馆
297 374592 6770 1 209 L L L 老馆
298 375033 2200 1 91 L L M 老馆
299 1091934 1000 1 199 L L L 老馆
300 699589 2500 1 144 L L M 老馆
301 882364 22450 1 15 M L H 老馆
302 275678 16930 1 95 M L M 老馆
303 275675 500 1 54 L L M 老馆
304 716041 400 1 36 L L M 老馆
305 710437 5100 1 75 L L M 老馆
306 269815 18500 1 206 M L L 老馆
307 298981 19750 1 72 M L M 老馆
308 1344903 700 1 59 L L M 老馆
309 259750 7040 1 115 L L M 老馆
310 727884 900 1 42 L L M 老馆
311 2442701 700 1 49 L L M 老馆
312 858387 10580 1 208 M L L 老馆
313 1208389 9560 1 47 M L M 老馆
314 810833 31990 1 132 H L M 老馆
315 1091937 4940 1 65 L L M 老馆
316 603889 10 1 187 L L L 老馆
317 599622 10 1 167 L L L 老馆
318 600877 10 1 90 L L M 老馆
319 600271 10 1 145 L L M 老馆
320 602588 30 1 197 L L L 老馆
321 603177 10 1 55 L L M 老馆
322 599836 10 1 135 L L M 老馆
323 604129 10 1 144 L L M 老馆
324 603679 10 1 82 L L M 老馆
325 600624 10 1 59 L L M 老馆
326 601531 10 1 59 L L M 老馆
327 600042 10 1 128 L L M 老馆
328 601325 10 1 68 L L M 老馆
329 601700 10 1 15 L L H 老馆
330 601098 10 1 207 L L L 老馆
331 600896 4400 1 165 L L L 老馆
332 603386 10 1 209 L L L 老馆
333 604426 10 1 152 L L L 老馆
334 602240 10 1 179 L L L 老馆
335 670838 10 1 160 L L L 老馆
336 674208 10 1 181 L L L 老馆
337 673929 10 1 77 L L M 老馆
338 675258 10 1 132 L L M 老馆
339 670401 10 1 150 L L L 老馆
340 672355 10 1 158 L L L 老馆
341 673511 10 1 180 L L L 老馆
342 670627 10 1 116 L L M 老馆
343 671348 10 1 129 L L M 老馆
344 673214 10 1 113 L L M 老馆
345 673006 10 1 185 L L L 老馆
346 672677 10 1 61 L L M 老馆
347 671734 10 1 113 L L M 老馆
348 672185 10 1 204 L L L 老馆
349 671010 10 1 161 L L L 老馆
350 671985 10 1 111 L L M 老馆
351 674391 10 1 110 L L M 老馆
352 775570 10 1 44 L L M 老馆
353 771948 10 1 154 L L L 老馆
354 775923 10 1 45 L L M 老馆
355 776269 10 1 112 L L M 老馆
356 774997 10 1 174 L L L 老馆
357 776559 10 1 26 L L H 老馆
358 773580 10 1 98 L L M 老馆
359 772459 10 1 14 L L H 老馆
360 774358 10 1 42 L L M 老馆
361 772113 10 1 36 L L M 老馆
362 773288 10 1 183 L L L 老馆
363 773926 10 1 77 L L M 老馆
364 772334 10 1 180 L L L 老馆
365 772869 10 1 28 L L H 老馆
366 3253631 10 1 118 L L M 老馆
367 3293183 30 1 193 L L L 老馆
368 3251878 10 1 156 L L L 老馆
369 3282184 10 1 67 L L M 老馆
370 3284451 30 1 59 L L M 老馆
371 3253664 23400 1 171 M L L 老馆
372 3268791 10 1 47 L L M 老馆
373 3281837 10 1 170 L L L 老馆
374 3297117 10 1 117 L L M 老馆
375 3276444 10 1 46 L L M 老馆
376 3282503 10 1 92 L L M 老馆
377 3292539 10 1 83 L L M 老馆
378 3254954 10 1 58 L L M 老馆
379 3285589 30 1 71 L L M 老馆
380 3249600 10 1 140 L L M 老馆
381 3249176 30 1 15 L L H 老馆
382 539487 10 1 131 L L M 老馆
383 536050 10 1 211 L L L 老馆
384 535682 10 1 9 L L H 老馆
385 537343 10 1 181 L L L 老馆
386 538573 10 1 153 L L L 老馆
387 536342 10 1 109 L L M 老馆
388 540188 10 1 130 L L M 老馆
389 539901 10 1 88 L L M 老馆
390 538170 10 1 54 L L M 老馆
391 536752 10 1 157 L L L 老馆
392 539003 10 1 77 L L M 老馆
393 537762 10 1 15 L L H 老馆
394 539165 10 1 33 L L M 老馆
395 572631 10 1 200 L L L 老馆
396 568645 10 1 208 L L L 老馆
397 568906 10 1 23 L L H 老馆
398 568407 10 1 193 L L L 老馆
399 569246 10 1 22 L L H 老馆
400 571547 10 1 180 L L L 老馆
401 570572 10 1 165 L L L 老馆
402 570326 10 1 23 L L H 老馆
403 571994 10 1 158 L L L 老馆
404 571818 10 1 59 L L M 老馆
405 573352 10 1 97 L L M 老馆
406 569638 10 1 126 L L M 老馆
407 572327 10 1 8 L L H 老馆
408 569921 10500 1 99 M L M 老馆
409 571203 10 1 113 L L M 老馆
410 573139 10 1 121 L L M 老馆
411 569956 30 1 11 L L H 老馆
412 1363174 5800 1 105 L L M 老馆
413 1341080 41100 1 56 H L M 老馆
414 1342141 10 1 59 L L M 老馆
415 1387955 10 1 160 L L L 老馆
416 1384092 10 1 115 L L M 老馆
417 1352472 10 1 38 L L M 老馆
418 1355465 10 1 94 L L M 老馆
419 1353148 10 1 183 L L L 老馆
420 1365970 10 1 143 L L M 老馆
421 1393078 10 1 188 L L L 老馆
422 3440920 52360 37 113 H H M VIP
423 3443247 7730 43 202 L H L VIP
424 3441192 2390 14 48 L H M 老馆
425 3443649 2820 18 162 L H L 老馆
426 3654500 3970 26 54 L H M VIP
427 3655716 2350 14 24 L H H 老馆
428 3656062 4540 26 212 L H L VIP
429 3653534 3550 25 68 L H M VIP
430 3654963 3090 17 101 L H M 老馆
431 390020 10 1 2 L L H 老馆
432 389512 10 1 86 L L M 老馆
433 392847 10 1 14 L L H 老馆
434 394246 21000 1 24 M L H 老馆
435 391789 10 1 77 L L M 老馆
436 390276 10 1 119 L L M 老馆
437 389734 10 1 92 L L M 老馆
438 391404 10 1 20 L L H 老馆
439 392167 10 1 83 L L M 老馆
440 392491 10 1 141 L L M 老馆
441 390849 10 1 54 L L M 老馆
442 394229 10 1 74 L L M 老馆
443 393994 10 1 20 L L H 老馆
444 393372 10 1 16 L L H 老馆
445 393030 10 1 124 L L M 老馆
446 394410 10 1 205 L L L 老馆
447 391076 10 1 43 L L M 老馆
448 390549 10 1 164 L L L 老馆
449 430269 10 1 33 L L M 老馆
450 431360 10 1 172 L L L 老馆
451 432502 10 1 119 L L M 老馆
452 428198 24200 1 23 M L H 老馆
453 428120 30 1 84 L L M 老馆
454 432251 10 1 2 L L H 老馆
455 428757 23900 1 18 M L H 老馆
456 432765 10 1 52 L L M 老馆
457 431017 4500 1 181 L L L 老馆
458 431049 10 1 43 L L M 老馆
459 433773 10 1 109 L L M 老馆
460 429871 10 1 151 L L L 老馆
461 431761 10 1 2 L L H 老馆
462 433595 10 1 125 L L M 老馆
463 430845 10 1 132 L L M 老馆
464 428439 10 1 79 L L M 老馆
465 428710 10 1 53 L L M 老馆
466 433369 10 1 24 L L H 老馆
467 433103 10 1 117 L L M 老馆
468 429629 10 1 129 L L M 老馆
469 430043 10 1 116 L L M 老馆
470 534182 30 1 75 L L M 老馆
471 535124 10 1 66 L L M 老馆
472 533090 10 1 172 L L L 老馆
473 534451 10 1 94 L L M 老馆
474 533745 10 1 80 L L M 老馆
475 530916 30 1 37 L L M 老馆
476 534739 10 1 94 L L M 老馆
477 531234 10 1 117 L L M 老馆
478 535342 10 1 214 L L L 老馆
479 533525 10 1 143 L L M 老馆
480 533857 10 1 157 L L L 老馆
481 531753 10 1 164 L L L 老馆
482 532451 10 1 192 L L L 老馆
483 532701 10 1 57 L L M 老馆
484 532070 10 1 161 L L L 老馆
485 781870 90 6 29 L M H 老馆
486 780510 11290 11 36 M M M 老馆
487 349496 200 14 78 L H M 老馆
488 352732 2760 20 139 L H M VIP
489 1218803 200 14 152 L H L 老馆
490 864507 290 19 83 L H M 老馆
491 967961 10810 21 142 M H M VIP
492 1151983 9810 15 25 M H H 老馆
