"trans_id" "monetary" "frequency" "recency" "monetary_level" "frequency_level" "recency_level"
3589600 0 1 56 "L" "L" "M"
3586192 50 1 202 "L" "L" "L"
3587929 10 1 213 "L" "L" "L"
3587146 110 1 25 "L" "L" "H"
3614522 20 1 79 "L" "L" "M"
3615569 40 1 33 "L" "L" "M"
3643350 70 1 76 "L" "L" "M"
3449863 20 1 187 "L" "L" "L"
3546684 250 1 138 "L" "L" "M"
3549614 30 1 197 "L" "L" "L"
3598961 0 1 52 "L" "L" "M"
3599468 120 1 116 "L" "L" "M"
3600404 200 1 17 "L" "L" "H"
3468211 20 1 78 "L" "L" "M"
3466390 60 1 66 "L" "L" "M"
3467902 50 1 175 "L" "L" "L"
3466050 100 1 117 "L" "L" "M"
3447022 150 1 77 "L" "L" "M"
3444293 220 1 192 "L" "L" "L"
3448084 40 1 212 "L" "L" "L"
3444481 30 1 136 "L" "L" "M"
3602139 20 1 68 "L" "L" "M"
3604749 10 1 178 "L" "L" "L"
3539843 20 1 124 "L" "L" "M"
3542018 60 1 160 "L" "L" "L"
621768 39280 1 143 "H" "L" "M"
3567644 10 1 200 "L" "L" "L"
3567897 150 1 98 "L" "L" "M"
3595507 50 1 86 "L" "L" "M"
3594125 50 1 191 "L" "L" "L"
3597518 20 1 50 "L" "L" "M"
3595784 20 1 194 "L" "L" "L"
3648652 30 1 178 "L" "L" "L"
3646189 10 1 3 "L" "L" "H"
3645342 110 1 81 "L" "L" "M"
3556398 20 1 104 "L" "L" "M"
3556862 40 1 212 "L" "L" "L"
3555839 30 1 191 "L" "L" "L"
527456 18970 1 136 "M" "L" "M"
1081627 3200 1 208 "L" "L" "L"
3537488 50 1 189 "L" "L" "L"
1450025 44460 1 118 "H" "L" "M"
3607856 30 1 34 "L" "L" "M"
3608593 340 1 149 "L" "L" "M"
3609128 80 1 179 "L" "L" "L"
3608664 60 1 91 "L" "L" "M"
3610110 20 1 196 "L" "L" "L"
3610581 10 1 79 "L" "L" "M"
3612140 120 1 12 "L" "L" "H"
3669815 270 1 101 "L" "L" "M"
3671894 90 1 87 "L" "L" "M"
3667903 10 1 67 "L" "L" "M"
3492040 120 1 195 "L" "L" "L"
3479817 30 1 146 "L" "L" "M"
3479717 30 1 150 "L" "L" "L"
3543739 30 1 83 "L" "L" "M"
3546414 10 1 182 "L" "L" "L"
3544121 40 1 162 "L" "L" "L"
3546052 40 1 126 "L" "L" "M"
3545699 50 1 72 "L" "L" "M"
3572389 80 1 42 "L" "L" "M"
3469665 10 1 176 "L" "L" "L"
3470805 70 1 99 "L" "L" "M"
3469151 90 1 166 "L" "L" "L"
3528743 40 1 57 "L" "L" "M"
3529064 30 1 180 "L" "L" "L"
3626470 10 1 159 "L" "L" "L"
3627126 70 1 26 "L" "L" "H"
3628744 20 1 201 "L" "L" "L"
3625748 70 1 97 "L" "L" "M"
3625863 20 1 20 "L" "L" "H"
3627197 50 1 121 "L" "L" "M"
608427 7700 1 73 "L" "L" "M"
1190945 2500 1 22 "L" "L" "H"
542076 3900 1 57 "L" "L" "M"
71666 300 1 198 "L" "L" "L"
797025 10800 1 203 "M" "L" "L"
695563 21400 1 122 "M" "L" "M"
968613 700 1 57 "L" "L" "M"
810834 33040 1 108 "H" "L" "M"
207643 8900 1 178 "M" "L" "L"
1117692 4200 1 124 "L" "L" "M"
695254 7080 1 16 "L" "L" "H"
502369 700 1 43 "L" "L" "M"
123329 400 1 145 "L" "L" "M"
315547 1000 1 100 "L" "L" "M"
1208386 500 1 214 "L" "L" "L"
1028504 500 1 62 "L" "L" "M"
771485 6900 1 107 "L" "L" "M"
615551 30560 1 195 "H" "L" "L"
1730741 10200 1 123 "M" "L" "M"
453139 13400 1 196 "M" "L" "L"
145022 8100 1 166 "M" "L" "L"
144543 18450 1 53 "M" "L" "M"
754530 2900 1 211 "L" "L" "L"
726267 8100 1 165 "M" "L" "L"
497554 5200 1 76 "L" "L" "M"
529625 9500 1 205 "M" "L" "L"
882873 900 1 180 "L" "L" "L"
1450026 8810 1 193 "M" "L" "L"
2797781 37300 1 48 "H" "L" "M"
404590 1100 1 151 "L" "L" "L"
505751 3200 1 96 "L" "L" "M"
251559 10700 1 137 "M" "L" "M"
712153 10600 1 210 "M" "L" "L"
732241 600 1 167 "L" "L" "L"
332727 11800 1 154 "M" "L" "L"
145128 25300 1 180 "M" "L" "L"
537878 11540 1 137 "M" "L" "M"
783293 24380 1 199 "M" "L" "L"
1910797 42230 1 194 "H" "L" "L"
1935476 300 1 131 "L" "L" "M"
851328 20210 1 190 "M" "L" "L"
846310 2700 1 76 "L" "L" "M"
3393741 7620 1 64 "L" "L" "M"
101389 19940 1 104 "M" "L" "M"
710069 14610 1 91 "M" "L" "M"
566014 3900 1 145 "L" "L" "M"
330234 1100 1 92 "L" "L" "M"
1028005 300 1 89 "L" "L" "M"
374592 6770 1 209 "L" "L" "L"
375033 2200 1 91 "L" "L" "M"
1091934 1000 1 199 "L" "L" "L"
699589 2500 1 144 "L" "L" "M"
882364 22450 1 15 "M" "L" "H"
275678 16930 1 95 "M" "L" "M"
275675 500 1 54 "L" "L" "M"
716041 400 1 36 "L" "L" "M"
710437 5100 1 75 "L" "L" "M"
269815 18500 1 206 "M" "L" "L"
298981 19750 1 72 "M" "L" "M"
1344903 700 1 59 "L" "L" "M"
259750 7040 1 115 "L" "L" "M"
727884 900 1 42 "L" "L" "M"
2442701 700 1 49 "L" "L" "M"
858387 10580 1 208 "M" "L" "L"
1208389 9560 1 47 "M" "L" "M"
810833 31990 1 132 "H" "L" "M"
1091937 4940 1 65 "L" "L" "M"
603889 10 1 187 "L" "L" "L"
599622 10 1 167 "L" "L" "L"
600877 10 1 90 "L" "L" "M"
600271 10 1 145 "L" "L" "M"
602588 30 1 197 "L" "L" "L"
603177 10 1 55 "L" "L" "M"
599836 10 1 135 "L" "L" "M"
604129 10 1 144 "L" "L" "M"
603679 10 1 82 "L" "L" "M"
600624 10 1 59 "L" "L" "M"
601531 10 1 59 "L" "L" "M"
600042 10 1 128 "L" "L" "M"
601325 10 1 68 "L" "L" "M"
601700 10 1 15 "L" "L" "H"
601098 10 1 207 "L" "L" "L"
600896 4400 1 165 "L" "L" "L"
603386 10 1 209 "L" "L" "L"
604426 10 1 152 "L" "L" "L"
602240 10 1 179 "L" "L" "L"
670838 10 1 160 "L" "L" "L"
674208 10 1 181 "L" "L" "L"
673929 10 1 77 "L" "L" "M"
675258 10 1 132 "L" "L" "M"
670401 10 1 150 "L" "L" "L"
672355 10 1 158 "L" "L" "L"
673511 10 1 180 "L" "L" "L"
670627 10 1 116 "L" "L" "M"
671348 10 1 129 "L" "L" "M"
673214 10 1 113 "L" "L" "M"
673006 10 1 185 "L" "L" "L"
672677 10 1 61 "L" "L" "M"
671734 10 1 113 "L" "L" "M"
672185 10 1 204 "L" "L" "L"
671010 10 1 161 "L" "L" "L"
671985 10 1 111 "L" "L" "M"
674391 10 1 110 "L" "L" "M"
775570 10 1 44 "L" "L" "M"
771948 10 1 154 "L" "L" "L"
775923 10 1 45 "L" "L" "M"
776269 10 1 112 "L" "L" "M"
774997 10 1 174 "L" "L" "L"
776559 10 1 26 "L" "L" "H"
773580 10 1 98 "L" "L" "M"
772459 10 1 14 "L" "L" "H"
774358 10 1 42 "L" "L" "M"
772113 10 1 36 "L" "L" "M"
773288 10 1 183 "L" "L" "L"
773926 10 1 77 "L" "L" "M"
772334 10 1 180 "L" "L" "L"
772869 10 1 28 "L" "L" "H"
3253631 10 1 118 "L" "L" "M"
3293183 30 1 193 "L" "L" "L"
3251878 10 1 156 "L" "L" "L"
3282184 10 1 67 "L" "L" "M"
3284451 30 1 59 "L" "L" "M"
3253664 23400 1 171 "M" "L" "L"
3268791 10 1 47 "L" "L" "M"
3281837 10 1 170 "L" "L" "L"
3297117 10 1 117 "L" "L" "M"
3276444 10 1 46 "L" "L" "M"
3282503 10 1 92 "L" "L" "M"
3292539 10 1 83 "L" "L" "M"
3254954 10 1 58 "L" "L" "M"
3285589 30 1 71 "L" "L" "M"
3249600 10 1 140 "L" "L" "M"
3249176 30 1 15 "L" "L" "H"
539487 10 1 131 "L" "L" "M"
536050 10 1 211 "L" "L" "L"
535682 10 1 9 "L" "L" "H"
537343 10 1 181 "L" "L" "L"
538573 10 1 153 "L" "L" "L"
536342 10 1 109 "L" "L" "M"
540188 10 1 130 "L" "L" "M"
539901 10 1 88 "L" "L" "M"
538170 10 1 54 "L" "L" "M"
536752 10 1 157 "L" "L" "L"
539003 10 1 77 "L" "L" "M"
537762 10 1 15 "L" "L" "H"
539165 10 1 33 "L" "L" "M"
572631 10 1 200 "L" "L" "L"
568645 10 1 208 "L" "L" "L"
568906 10 1 23 "L" "L" "H"
568407 10 1 193 "L" "L" "L"
569246 10 1 22 "L" "L" "H"
571547 10 1 180 "L" "L" "L"
570572 10 1 165 "L" "L" "L"
570326 10 1 23 "L" "L" "H"
571994 10 1 158 "L" "L" "L"
571818 10 1 59 "L" "L" "M"
573352 10 1 97 "L" "L" "M"
569638 10 1 126 "L" "L" "M"
572327 10 1 8 "L" "L" "H"
569921 10500 1 99 "M" "L" "M"
571203 10 1 113 "L" "L" "M"
573139 10 1 121 "L" "L" "M"
569956 30 1 11 "L" "L" "H"
1363174 5800 1 105 "L" "L" "M"
1341080 41100 1 56 "H" "L" "M"
1342141 10 1 59 "L" "L" "M"
1387955 10 1 160 "L" "L" "L"
1384092 10 1 115 "L" "L" "M"
1352472 10 1 38 "L" "L" "M"
1355465 10 1 94 "L" "L" "M"
1353148 10 1 183 "L" "L" "L"
1365970 10 1 143 "L" "L" "M"
1393078 10 1 188 "L" "L" "L"
3440920 52360 37 113 "H" "H" "M"
3443247 7730 43 202 "L" "H" "L"
3441192 2390 14 48 "L" "H" "M"
3443649 2820 18 162 "L" "H" "L"
3654500 3970 26 54 "L" "H" "M"
3655716 2350 14 24 "L" "H" "H"
3656062 4540 26 212 "L" "H" "L"
3653534 3550 25 68 "L" "H" "M"
3654963 3090 17 101 "L" "H" "M"
390020 10 1 2 "L" "L" "H"
389512 10 1 86 "L" "L" "M"
392847 10 1 14 "L" "L" "H"
394246 21000 1 24 "M" "L" "H"
391789 10 1 77 "L" "L" "M"
390276 10 1 119 "L" "L" "M"
389734 10 1 92 "L" "L" "M"
391404 10 1 20 "L" "L" "H"
392167 10 1 83 "L" "L" "M"
392491 10 1 141 "L" "L" "M"
390849 10 1 54 "L" "L" "M"
394229 10 1 74 "L" "L" "M"
393994 10 1 20 "L" "L" "H"
393372 10 1 16 "L" "L" "H"
393030 10 1 124 "L" "L" "M"
394410 10 1 205 "L" "L" "L"
391076 10 1 43 "L" "L" "M"
390549 10 1 164 "L" "L" "L"
430269 10 1 33 "L" "L" "M"
431360 10 1 172 "L" "L" "L"
432502 10 1 119 "L" "L" "M"
428198 24200 1 23 "M" "L" "H"
428120 30 1 84 "L" "L" "M"
432251 10 1 2 "L" "L" "H"
428757 23900 1 18 "M" "L" "H"
432765 10 1 52 "L" "L" "M"
431017 4500 1 181 "L" "L" "L"
431049 10 1 43 "L" "L" "M"
433773 10 1 109 "L" "L" "M"
429871 10 1 151 "L" "L" "L"
431761 10 1 2 "L" "L" "H"
433595 10 1 125 "L" "L" "M"
430845 10 1 132 "L" "L" "M"
428439 10 1 79 "L" "L" "M"
428710 10 1 53 "L" "L" "M"
433369 10 1 24 "L" "L" "H"
433103 10 1 117 "L" "L" "M"
429629 10 1 129 "L" "L" "M"
430043 10 1 116 "L" "L" "M"
534182 30 1 75 "L" "L" "M"
535124 10 1 66 "L" "L" "M"
533090 10 1 172 "L" "L" "L"
534451 10 1 94 "L" "L" "M"
533745 10 1 80 "L" "L" "M"
530916 30 1 37 "L" "L" "M"
534739 10 1 94 "L" "L" "M"
531234 10 1 117 "L" "L" "M"
535342 10 1 214 "L" "L" "L"
533525 10 1 143 "L" "L" "M"
533857 10 1 157 "L" "L" "L"
531753 10 1 164 "L" "L" "L"
532451 10 1 192 "L" "L" "L"
532701 10 1 57 "L" "L" "M"
532070 10 1 161 "L" "L" "L"
781870 90 6 29 "L" "M" "H"
780510 11290 11 36 "M" "M" "M"
349496 200 14 78 "L" "H" "M"
352732 2760 20 139 "L" "H" "M"
1218803 200 14 152 "L" "H" "L"
864507 290 19 83 "L" "H" "M"
967961 10810 21 142 "M" "H" "M"
1151983 9810 15 25 "M" "H" "H"
